instruction	option_a	option_b	option_c	option_d	answer	id
L'énergie pour toutes les formes de contraction musculaire est fournie par:	ATP.	ADP.	phosphocréatine.	phosphorylation oxydative.	A	clinical_knowledge/dev/0
Le coefficient de concentration pour un monopole est	0	5	10	100	D	high_school_microeconomics/dev/2
Dans une population donnée, 1 personne sur 400 a un cancer causé par un allèle b complètement récessif. En supposant que la population soit en équilibre de Hardy-Weinberg, quelle est la proportion attendue d'individus porteurs de l'allèle b mais qui ne devraient pas développer le cancer ?	1/400	19/400	20/400	38/400	D	college_biology/dev/1
Quand les personnes âgées déménagent dans un nouvel État après leur retraite, laquelle des destinations suivantes est la plus probable?	Texas	Californie	Hawaï	Vermont	A	human_aging/dev/2
Qui est l'homme le plus court à avoir jamais remporté un concours de dunk de la NBA?	Anthony 'Spud' Webb	Michael 'Air' Jordan	Tyrone 'Muggsy' Bogues	Julius 'Dr J' Erving	A	miscellaneous/dev/2
Une solution contient 2,00 moles d'acide acétique, CH3COOH, et 1,00 mole d'acétate de calcium, Ca(CH3COO)2. La solution est capable de résister à l'ajout d'une petite quantité d'acide fort ou de base forte avec des changements mineurs dans le pH de la solution. Des quantités plus importantes d'acide fort ou de base forte peuvent causer un changement significatif dans le pH. Combien de moles d'acide nitrique, HNO3, peuvent être ajoutées avant que le pH ne commence à changer de manière significative ?	0,500 mole	1,00 mole	2,00 mole	3,00 mole	C	high_school_chemistry/dev/4
L'exploitation de la faille Heartbleed permet	d'écraser des clés cryptographiques en mémoire	une sorte d'injection de code	une lecture en dehors des limites d'une mémoire tampon	une attaque de chaîne de format	C	computer_security/dev/3
La ligase d'ADN est	une enzyme qui relie les fragments lors de la réplication normale de l'ADN	une enzyme d'origine bactérienne qui coupe l'ADN à des séquences de bases définies	une enzyme qui facilite la transcription de gènes spécifiques	une enzyme qui limite le niveau atteint par un nutriment particulier	A	medical_genetics/dev/1
Le terme « hégémonie » fait référence à :	la tendance de la classe ouvrière à ne pas réaliser leurs propres intérêts	une idéologie dominante qui légitime le pouvoir économique, politique et culturel	une forme de double conscience basée sur l'idéologie et les expériences quotidiennes	un mode de paiement donné pour une topiaire exceptionnelle	B	sociology/dev/3
Le temps de survie médian pour le SIDA et la mort a été établi en suivant :	Les individus infectés par le VIH séroprevalent	Les séronégatifs	Les séroconvertisseurs	Les séronégatifs à haut risque	C	virology/dev/4
"Cette question se réfère aux informations suivantes.
""En effet, comme le confirment à la fois les fatwas de grands [érudits] qui basent leur opinion sur la raison et la tradition, ainsi que le consensus de la communauté sunnite, l'ancienne obligation d'extirpation, d'extermination et d'expulsion de l'innovation maléfique doit être l'objet de notre aspiration exaltée, car ""Le zèle religieux est une victoire pour la Foi de Dieu le Bienfaiteur"" ; ainsi, selon les paroles du Prophète (Que la paix soit sur lui!) ""Celui qui introduit de mauvaises innovations dans notre ordre doit être expulsé"" et ""Celui qui fait quelque chose contre notre ordre doit être expulsé,"" l'action est devenue nécessaire et urgente...
Lettre de l'empereur ottoman Selim Ier au chah Safavid Ismail Ier, 1514
La lettre de Selim Ier est clairement un exemple de quoi parmi les choix suivants ?"	Le maintien de la suprématie militaire à tout prix	L'aggravation des tensions entre les sectes religieuses	Les facteurs qui ont entraîné l'effondrement de l'Empire ottoman	Les efforts de paix parmi les empires islamiques	B	high_school_world_history/dev/3
Comparées à la masse d'un atome d'uranium subissant une fission, les masses combinées des produits après la fission sont	moins	plus	les mêmes	zéro	A	conceptual_physics/dev/0
Trouver la caractéristique de l'anneau 2Z.	0	3	12	30	A	abstract_algebra/dev/4
Contrairement aux _______, les _______ visent à récompenser les comportements favorables des sociétés. Le succès de telles campagnes a été accru grâce à l'utilisation de ___________, qui permettent aux campagnes de faciliter la réalisation de _________ par les entreprises.	Buycotts, Boycotts, la technologie de la chaîne de blocs, les dons de bienfaisance	Buycotts, Boycotts, la technologie numérique, les ventes accrues	Boycotts, Buyalls, la technologie de la chaîne de blocs, les dons de bienfaisance	Boycotts, Buycotts, la technologie numérique, les ventes accrues	D	business_ethics/dev/4
Quelle est l'une des hypothèses de la hiérarchie des besoins de Maslow?	Les besoins dépendent de la culture et également de la classe sociale.	Les besoins de niveau inférieur doivent être au moins partiellement satisfaits avant que les besoins supérieurs ne puissent affecter le comportement.	Les besoins ne sont pas hiérarchisés ou organisés dans un ordre particulier.	Les besoins satisfaits sont des motivants et de nouveaux besoins émergent lorsque les besoins actuels demeurent insatisfaits.	B	marketing/dev/2
Simplifiez et écrivez le résultat avec un dénominateur rationnel: $$\sqrt{\sqrt[3]{\sqrt{\frac{1}{729}}}}$$	\frac{3\sqrt{3}}{3}	\frac{1}{3}	\sqrt{3}	\frac{\sqrt{3}}{3}	D	high_school_mathematics/dev/3
"Quel ensemble de valeurs suivant a l'écart-type le plus petit? Lequel a le plus grand?
I: {1,2,3}
II: {-10,10}
III: {100}
"	I, II	II, III	III, I	III, II	D	high_school_statistics/dev/4
Les _____________ peuvent modifier les données de votre système – de sorte que votre système ne fonctionne pas correctement ou que vous ne puissiez plus accéder à des données spécifiques, ou ils peuvent même demander une rançon pour vous donner accès.	IM – Trojan	Trojan de porte dérobée	Trojan-Downloader	Trojan d'extorsion	D	computer_security/dev/1
Iverson Jewelers a écrit une lettre à Miller, « Nous avons reçu une montre Rolox à remontage automatique exceptionnellement fine que nous vous vendrons à un prix très favorable. »	La lettre est une offre de vente	Une offre valide ne peut pas être faite par lettre.	La lettre contient une offre valide qui prendra fin dans un délai raisonnable.	La lettre manque l'un des éléments essentiels d'une offre.	D	jurisprudence/dev/4
Quelles de ces branches du nerf trijumeau contiennent des processus moteurs somatiques?	Le nerf supra-orbitaire	Le nerf infra-orbitaire	Le nerf mentonnier	Aucun des choix précédents	D	anatomy/dev/1
La variable $x$ varie directement comme le carré de $y$, et $y$ varie directement comme le cube de $z$. Si $x$ égale à $-16$ quand $z$ égale à 2, quelle est la valeur de $x$ lorsque $z$ égale à $\frac{1}{2}$ ?	-1	16	-\frac{1}{256}	\frac{1}{16}	C	high_school_mathematics/dev/2
"Une législature d’État a récemment promulgué une loi qui en fait un délit de maudire, de vilipender ou d’utiliser un langage obscène ou opprobreux envers ou en référence à un officier de police exerçant ses fonctions. Un étudiant d'une université d'État a organisé une manifestation sur le campus pour protester contre la guerre. Le rassemblement a été suivi par un groupe de 50 étudiants qui ont crié des messages anti-guerre aux voitures qui passaient. Pour montrer son mépris pour les États-Unis, l'étudiant a cousu le drapeau américain à l'arrière de son jean. Quand un policier a vu le drapeau cousu sur le jean de l'étudiant, il s'est approché et lui a demandé de retirer le drapeau sinon il serait placé sous arrestation. L'étudiant est devenu en colère et a crié au policier : ""Écoute, espèce de salaud, je vais porter ce torchon n'importe où je veux."" L'étudiant a été ensuite placé sous arrestation et accusé de violation de la loi de l'État. L'étudiant a ensuite intenté un procès en justice devant un tribunal de l'État pour contester la constitutionnalité de la loi. Le plus fort argument constitutionnel de l'étudiant est que"	la loi est nulle pour cause de vagueness en vertu de la clause de procédure régulière du Quatorzième amendement.	la loi est invalidée car elle viole la liberté d'expression du requérant en vertu du Premier amendement.	la loi restreint la liberté d'expression en vertu du Premier amendement car il existe des moyens moins restrictifs pour atteindre le même objectif.	la loi est trop large et par conséquent invalide en vertu des premier et quatorzième amendements.	D	professional_law/dev/0
La constatation selon laquelle les adultes ont tendance à se souvenir mieux des événements de leur adolescence que des autres périodes de leur vie est appelée	Avantage de l'adolescence	Coup de fouet de la réminiscence	Mémorial de la mémoire	Pic de récupération quadratique	B	human_aging/dev/1
Joe était responsable des lumières pour une danse. La lumière rouge clignote toutes les deux secondes, la lumière jaune toutes les trois secondes et la lumière bleue toutes les cinq secondes. Si nous incluons le tout début et la fin de la danse, combien de fois pendant une danse de sept minutes toutes les lumières s'allumeront-elles en même temps ? (Supposons que les trois lumières clignotent simultanément au tout début de la danse.)	3	15	6	5	B	high_school_mathematics/dev/0
Il y a cent ans, votre arrière-arrière-grand-mère a investi 100 $ à un taux d'intérêt annuel de 5 %. Quelle est la valeur de l'investissement aujourd'hui?	13 000 $	600 $	15 000 $	28 000 $	A	professional_accounting/dev/1
D'après les règles de solubilité, laquelle des affirmations suivantes est vraie?	Tous les chlorures, bromures et iodures sont solubles	Tous les sulfates sont solubles	Tous les hydroxydes sont solubles	Tous les composés contenant de l'ammonium sont solubles	D	high_school_chemistry/dev/2
Le domaine des décisions politiques concernant principalement les relations entre les États-Unis et le reste du monde est connu sous le nom de	politique de lutte contre le terrorisme.	politique économique.	politique étrangère.	politique internationale.	C	us_foreign_policy/dev/2
Un fils devait $ 5 000 à un créancier. Le père du fils a contacté le créancier et lui a dit qu'il voulait payer la dette du fils. Le père a signé un document stipulant qu'il payerait la dette du fils à un taux de 500 $ par mois pendant 10 mois. Le créancier n'a pris aucun engagement écrit ou oral de renoncer à poursuivre le fils pour récupérer la dette de 5 000 $, et le père n'a formulé aucune demande orale ou écrite en faveur d'une telle renonciation. Au cours des cinq mois suivants, le père a effectué les paiements mensuels de 500 $ convenus et le créancier les a acceptés. Au cours de cette période, le créancier a en fait renoncé à prendre des mesures judiciaires contre le fils. Cependant, le père a informé le créancier qu'il ne ferait plus aucun paiement sur la dette. Lequel des arguments suivants est le plus convaincant pour prouver que le père est responsable envers le créancier en vertu des termes de leur accord?	La promesse du père et la confiance du créancier, si cela est prouvé, ont donné lieu à une demande valable du créancier contre le père en vertu de la doctrine de l'estoppel promissory.	Puisqu'il était prévisible que la promesse du père inciterait le créancier à renoncer à prendre toute mesure contre le fils, une telle abstention était, en droit, une contrepartie négociée pour la promesse du père.	Les cinq paiements du père au créancier totalisant 2 500 $ ont manifesté une intention sérieuse de la part du père d'être lié par contrat, et une telle manifestation est généralement reconnue comme un substitut efficace de la contrepartie.	En assumant l'obligation de dette antérieure que le fils devait au créancier, le père est devenu une caution dont la promesse envers le créancier était exécutoire, car elle était écrite et soutenue par une contrepartie adéquate.	A	professional_law/dev/4
Dans un marché du travail concurrentiel pour les peintres en bâtiment, lequel des éléments suivants augmenterait la demande de peintres en bâtiment?	Un salaire minimum efficace imposé à ce marché du travail.	Une augmentation du prix des gallons de peinture.	Une augmentation de la construction de nouvelles maisons.	Une augmentation du prix des peintres mécaniques tant que l'effet de rendement dépasse l'effet de substitution.	C	high_school_microeconomics/dev/0
La pratique consistant à embaucher un fournisseur de services tiers étranger pour gérer une opération est appelée	externalisation.	délocalisation.	maquiladoras.	interdépendance locale.	B	high_school_geography/dev/3
La présence de structures homologues dans deux organismes différents, telles que l'humérus dans le membre antérieur d'un humain et d'un oiseau, indique que	l'humain et l'oiseau sont des espèces polyphylétiques	l'évolution de l'humain et de l'oiseau est convergente	l'humain et l'oiseau appartiennent à un clade	l'humain et l'oiseau se sont développés par analogie	C	college_biology/dev/2
Lequel des éléments suivants est considéré comme un anhydride acide?	HCl	H2SO3	SO2	Al(NO3)3	C	high_school_chemistry/dev/0
Quelles sont les conditions suivantes qui assureront que le moment angulaire est conservé ? I. Conservation du moment linéaire. II. Force externe nette nulle. III. Couple externe net nul.	I et II uniquement	I et III uniquement	II et III uniquement	III uniquement	D	high_school_physics/dev/0
Une extrémité d'un fil Nichrome de longueur 2L et de section A est attachée à une extrémité d'un autre fil Nichrome de longueur L et de section 2A. Si l'extrémité libre du fil le plus long est à un potentiel électrique de 8,0 volts et l'extrémité libre du fil le plus court est à un potentiel électrique de 1,0 volt, le potentiel au point de jonction des deux fils est le plus proche de	2,4 V	3,3 V	4,5 V	5,7 V	A	college_physics/dev/2
Quelle affirmation suivante concernant les éléments de lanthanides n'est PAS vraie?	L'état d'oxydation le plus courant pour les éléments de lanthanides est +3.	Les complexes de lanthanides ont souvent des nombres de coordination élevés (> 6).	Tous les éléments de lanthanides réagissent avec un acide aqueux pour libérer de l'hydrogène.	Les rayons atomiques des éléments de lanthanides augmentent sur la période de La à Lu.	D	college_chemistry/dev/0
Un gène montrant la codominance	a les deux allèles indépendamment exprimées chez l'hétérozygote	a un allèle dominant sur l'autre	a des allèles étroitement liés sur le même chromosome	a des allèles exprimées en même temps lors du développement	A	medical_genetics/dev/2
"Un compilateur génère du code pour l'instruction d'assignation suivante.
G := (A + B) * C - (D + E) * F
La machine cible dispose d'un seul accumulateur et d'un ensemble d'instructions à adresse unique composé des instructions suivantes : charger (load), stocker (store), additionner (add), soustraire (subtract) et multiplier (multiply). Pour les opérations arithmétiques, l'opérande de gauche est prélevé dans l'accumulateur et le résultat apparaît dans l'accumulateur. Le nombre minimal possible d'instructions dans le code résultant est"	5	6	7	9	D	college_computer_science/dev/3
Box, une organisation non gouvernementale à but non lucratif, a effectué les opérations suivantes au cours de l'année : recettes de la vente d'investissements 80 000 $, achat de biens immobiliers et d'équipements 10 000 $, recettes d'emprunts à long terme 100 000 $, perte sur vente d'investissement 5 000 $. Quel montant doit être indiqué comme flux de trésorerie net provenant des activités de financement dans l'état des flux de trésorerie de Box ?	70 000 $	75 000 $	80 000 $	100 000	D	professional_accounting/dev/0
En maintenant toutes les autres choses égales, quelle politique monétaire suivante serait utilisée pour stimuler les exportations américaines?	Augmenter le taux de réduction	Augmenter le ratio de réserve	Acheter des titres gouvernementaux	Réduire les tarifs douaniers	C	high_school_macroeconomics/dev/3
Le grand roi maya Pacal a construit des temples dans la ville de Palenque afin de:	satisfaire les puissants prêtres astronomes mayas.	montrer sa générosité envers le peuple commun, car ils étaient autorisés à vivre dans les temples.	effrayer les ennemis, en particulier les Espagnols.	légitimiser sa royauté, car son père n'était pas de sang royal.	D	prehistory/dev/0
Trois tactiques contrastées que les OSC peuvent adopter pour atteindre leurs objectifs sont ________, qui implique souvent de la recherche et de la communication, ________, qui peut impliquer une attaque physique des opérations d'une entreprise ou ________, qui implique généralement une forme de _______.	Action directe non violente, Action directe violente, Action indirecte, Boycott	Action indirecte, Action instrumentale, Action directe non violente, Campagne d'information	Action indirecte, Action directe violente, Action directe non violente, Boycott	Action directe non violente, Action instrumentale, Action indirecte, Campagne d'information	C	business_ethics/dev/3
Un dé à 6 faces est lancé 15 fois et les résultats sont : la face 1 ne sort jamais ; la face 2 : 1 fois ; la face 3 : 2 fois ; la face 4 : 3 fois ; la face 5 : 4 fois ; la face 6 : 5 fois. Sur la base de ces résultats, quelle est la probabilité que la face 3 sorte lors de l'utilisation du lissage Add-1 ?	2,0/15	1,0/7	3,0/16	1,0/5	B	machine_learning/dev/0
Quelles sont les fonctions de la loi qui ne sont pas mentionnées ci-dessous?	maximiser la liberté individuelle	fournir une base pour la compromission	maintenir la paix	promouvoir les principes du système d'entreprise libre	D	jurisprudence/dev/1
Comment peut-on caractériser les Upanishads ?	Textes rituels	Textes philosophiques	Hymnes	Récits d'origine	B	world_religions/dev/4
Qu'est-ce qu'un juge ad hoc?	Si une partie à une affaire contentieuse devant la CIJ n'a pas de juge national siégeant comme juge, elle est autorisée à nommer quelqu'un comme juge uniquement pour cette affaire, avec le titre de juge ad hoc	Le juge ad hoc est le membre de la cour de la CIJ avec un vote prépondérant	Le juge ad hoc est un juge par intérim, au cas où un juge serait disqualifié ou décèderait	Le juge ad hoc est le juge que chaque partie nommera toujours dans chaque affaire contentieuse	A	international_law/dev/1
D'où viennent la plupart des comètes à courte période et comment le savons-nous?	La ceinture de Kuiper; les comètes à courte période ont tendance à être dans le plan du système solaire, tout comme la ceinture de Kuiper.	La ceinture de Kuiper; les comètes à courte période ont tendance à venir de directions aléatoires, ce qui indique une distribution sphérique des comètes appelée la ceinture de Kuiper.	La ceinture d'astéroïdes; les comètes à courte période ont des périodes orbitales similaires à celles des astéroïdes comme Vesta et sont également situées dans le plan du système solaire, tout comme la ceinture d'astéroïdes.	Le nuage d'Oort; les comètes à courte période ont tendance à être dans le plan du système solaire, tout comme le nuage d'Oort.	A	astronomy/dev/1
À partir de 2015, depuis 1990, les forêts ont ____ en Europe et ont ____ en Afrique et dans les Amériques.	augmenté, augmenté	augmenté, diminué	diminué, augmenté	diminué, diminué	B	global_facts/dev/2
"Cette question se réfère aux informations suivantes.
""Au moins l'une des sociétés du monde devrait augmenter énormément sa productivité [afin d'atteindre une hégémonie mondiale]. Ce bond quantique devrait être réalisé avant les différentes révolutions scientifiques, technologiques, agricoles et industrielles sur lesquelles repose notre monde post bond quantique. Cela ne pourrait être réalisé qu'en exploitant les écosystèmes, les ressources minérales et les actifs humains de continents entiers en dehors des terres de la société qui fait le saut. L'Europe occidentale a réussi à le faire grâce à sa brutalité et à ses armes et, plus important encore, à la chance géographique et écologique."" 
Copyright© 2015 Cambridge University Press.
Alfred Crosby, historien, Impérialisme Écologique, 2004
Le ""bond quantique"" mentionné dans le passage a le plus directement contribué à quelle des évolutions suivantes entre 1450 et 1750 ?"	Une rupture des routes commerciales due à l'effondrement de la structure étatique établie	Une augmentation de la population mondiale grâce à des approvisionnements alimentaires plus abondants	La propagation des systèmes de croyances chinois et indiens à travers le monde	Une augmentation de l'agitation sociale	B	high_school_world_history/dev/4
Le groupe unique au sein de la société le plus vulnérable à l'influence du groupe de référence est :	Le consommateur plus âgé qui se sent quelque peu exclu de tout.	Les femmes mariées, nombreuses d'entre elles ressentent un besoin de stabilité dans leur vie.	Les nouveaux immigrants qui veulent vraiment s'assimiler dans leur nouvelle culture.	Les enfants, qui basent la plupart de leurs décisions d'achat sur des influences extérieures.	D	marketing/dev/3
Pour lequel de ces deux scénarios le personnage principal (qui utilise Je/moi/mes) a-t-il commis clairement une action moralement répréhensible, selon les normes morales ordinaires aux États-Unis en 2020 ? Scénario 1 | J'ai acheté une vieille camionnette pour le travail. Scénario 2 | J'ai regardé la magnifique chute d'eau et j'ai jeté un caillou dessus.	Répréhensible, Répréhensible	Répréhensible, Pas répréhensible	Pas répréhensible, Répréhensible	Pas répréhensible, Pas répréhensible	D	moral_scenarios/dev/2
Une charge ponctuelle, Q = +1 mC, est fixée à l'origine. Combien de travail faut-il pour déplacer une charge, Q = +8 µC, du point (0, 4 mètres) au point (3 mètres, 0) ?	3,5 J	6,0 J	22,5 J	40 J	B	high_school_physics/dev/4
Un nouveau composé est synthétisé et se révèle être un acide monoprotique avec une masse molaire de 248 g/mol. Lorsque 0,0050 mole de cet acide sont dissous dans 0,500 L d'eau, le pH est mesuré à 3,89. Quel est le pKa de cet acide ?	3,89	7,78	5,78	2,33	C	high_school_chemistry/dev/3
Quelle est la deuxième pierre précieuse dans le bouddhisme?	Le Dharma	Le Sangha	Le Bouddha	Le Bodhisattva	A	world_religions/dev/1
Un télescope réfracteur se compose de deux lentilles convergentes séparées de 100 cm. La lentille d'oculaire a une distance focale de 20 cm. Le grossissement angulaire du télescope est	4	5	6	20	A	college_physics/dev/0
En termes des cinq dimensions culturelles de Hofstede (1980), les États-Unis obtiennent le score le plus élevé sur :	l'individualisme.	l'individualisme et la distance hiérarchique.	la distance hiérarchique et la masculinité.	l'évitement de l'incertitude.	A	professional_psychology/dev/2
Un magasin vend 107 couleurs différentes de peinture. Ils ont 25 boîtes de chaque couleur en stockage. Le nombre de boîtes de peinture que le magasin a en stockage peut être trouvé en utilisant l'expression ci-dessous. 107 × 25. Combien de boîtes de peinture le magasin a-t-il en stockage?	749	2 675	2 945	4 250	B	elementary_mathematics/dev/3
Un avion modèle vole plus lentement lorsqu'il vole à contre-vent et plus rapidement avec le vent dans le dos. Lorsqu'il est lancé perpendiculairement au vent, son vitesse par rapport au sol comparée à un vol dans l'air calme est	la même	supérieure	inférieure	soit supérieure, soit inférieure en fonction de la vitesse du vent	B	conceptual_physics/dev/3
"Cette question se rapporte aux informations suivantes.
En Russie, rien ne se passait bien et [Souvarine] désespérait des nouvelles qu'il avait reçues. Ses anciens compagnons se tournaient tous vers les politiciens; les célèbres nihilistes qui faisaient trembler l'Europe-fils de prêtres de village, de la petite bourgeoisie, de commerçants-ne pouvaient pas dépasser l'idée de libération nationale et semblaient croire que le monde serait sauvé quand ils auraient tué leur despote&…
""Niaiseries! Ils n'en sortiront jamais avec leurs bêtises.""
Puis, baissant encore plus la voix, il décrivit en quelques mots amers son vieux rêve de fraternité. Il avait renoncé à son rang et à sa fortune; il était allé parmi les ouvriers, seulement dans l'espoir de voir enfin la fondation d'une nouvelle société de travail en commun. Tous les sous dans ses poches étaient depuis longtemps allés aux marmots de la colonie; il avait été aussi tendre qu'un frère avec les mineurs, souriant à leur soupçon, les gagnant par sa façon calme et travailleuse et son dégoût du bavardage. Mais décidément, la fusion n'avait pas eu lieu.
Sa voix changea, ses yeux s'illuminèrent, il les fixa sur étienne, s'adressant immédiatement à lui:
""Et maintenant, comprends-tu? Ces chapeliers à Marseille qui ont gagné le grand prix de cent mille francs sont partis immédiatement et ont investi, déclarant qu'ils allaient vivre sans rien faire! Oui, c'est votre idée, vous tous les ouvriers français; vous voulez déterrer un trésor pour le manger seul ensuite dans un coin paresseux et égoïste. Vous pouvez crier autant que vous voulez contre les riches, vous n'avez pas assez de courage pour rendre aux pauvres l'argent que la chance vous apporte. Vous ne serez jamais dignes du bonheur tant que vous posséderez quelque chose, et votre haine des bourgeois ne vient que d'un désir en colère d'être bourgeois vous-mêmes à leur place.""
émile Zola, écrivain français, Germinal, 1885
Le passage affiche la préoccupation directe pour le bien-être des travailleurs qui faisait typiquement partie de quel mouvement?"	Capitaliste	Scientifique	Communiste	Existentialiste	C	high_school_european_history/dev/2
Si le gouvernement subventionne les producteurs sur un marché parfaitement concurrentiel, alors	la demande du produit augmentera	la demande du produit diminuera	l'excédent du consommateur augmentera	l'excédent du consommateur diminuera	C	high_school_microeconomics/dev/1
Lequel des éléments suivants est un exemple de culture non matérielle ?	Savon Dove	Barre de chocolat Dove	Symbole de la colombe	Une colombe (oiseau)	C	high_school_geography/dev/4
Deux longs conducteurs parallèles portent 100 A. Si les conducteurs sont séparés de 20 mm, la force par mètre de longueur de chaque conducteur sera	100 N.	0,1 N.	1 N.	0,01 N.	B	electrical_engineering/dev/3
Sélectionnez la meilleure traduction en logique des prédicats. George emprunte la tondeuse à gazon de Hector. (g : George ; h : Hector ; l : la tondeuse à gazon de Hector ; Bxyx : x emprunte y à z)	Blgh	Bhlg	Bglh	Bghl	C	formal_logic/dev/1
Soit A l'ensemble de tous les couples ordonnés d'entiers (m, n) tels que 7m + 12n = 22. Quel est le plus grand nombre négatif dans l'ensemble B = {m + n : (m, n) \in A}?	-5	-4	-3	-2	B	college_mathematics/dev/4
Soutenir que ce qui est vrai des parties doit être vrai du tout est la fausse logique de...	Division	Composition	Appel à la personne	Appel à l'ignorance	B	logical_fallacies/dev/3
Pascale s'intéresse aux stratégies de traitement que les enfants utilisent pour apprendre de nouvelles informations. Dans quelle catégorie de psychologue Pascale serait-elle classée?	socioculturelle	clinique	cognitive	behavioriste	C	high_school_psychology/dev/4
Le taux d'augmentation naturelle d'une population est trouvé en soustrayant le	taux de mortalité brut du taux de naissance brut.	taux de naissance brut du taux de mortalité brut.	temps de doublement du taux de naissance brut.	taux de fécondité du taux de mortalité brut.	A	high_school_geography/dev/0
