instruction	option_a	option_b	option_c	option_d	answer	id
El término 'hegemonía' se refiere a:	la tendencia de la clase trabajadora de no darse cuenta de sus propios intereses	una ideología dominante que legitima el poder económico, político y cultural	una forma de doble conciencia basada en la ideología y las experiencias cotidianas	una forma de pago otorgada por la excelente topiaria	B	sociology/dev/3
El tiempo de supervivencia mediano al SIDA y la muerte se estableció siguiendo:	Individuos infectados por VIH seroprevalentes	Seronegativos	Seroconvertidores	Seronegativos de alto riesgo	C	virology/dev/4
"Esta pregunta se refiere a la siguiente información.
""De hecho, tanto las fatwas de destacados [eruditos] que basan su opinión en la razón como en la tradición, como el consenso de la comunidad suní, coinciden en que la antigua obligación de extirpar, exterminar y expulsar la innovación maligna debe ser el objetivo de nuestra exaltada aspiración, porque ""El celo religioso es una victoria para la Fe de Dios el Benefactor""; entonces, de acuerdo con las palabras del Profeta (¡La paz sea con él!) ""Quienquiera que introduzca innovación maligna en nuestro orden debe ser expulsado"" y ""Quienquiera que haga algo en contra de nuestro orden debe ser expulsado"", la acción se ha vuelto necesaria y exigente…""
Carta del sultán otomano Selim I al sah safávida Ismail I, 1514
La carta de Selim I es claramente un ejemplo de cuál de los siguientes?"	El mantenimiento de la supremacía militar a cualquier costo	Aumento de las tensiones entre las sectas religiosas	Factores que llevaron al colapso del Imperio Otomano	Esfuerzos de pacificación entre los imperios islámicos	B	high_school_world_history/dev/3
"Esta pregunta se refiere a la siguiente información. Lea el siguiente extracto. La semilla revolucionaria había penetrado en todos los países y se había expandido más o menos. Fue muy desarrollada durante el régimen del despotismo militar de Bonaparte. Sus conquistas desplazaron una serie de leyes, instituciones y costumbres, rompiendo los lazos sagrados entre todas las naciones, lo suficientemente fuertes como para resistir el tiempo mismo; lo cual es más de lo que se puede decir de ciertos beneficios conferidos por estos innovadores. Los monarcas cumplirán con los deberes que se les imponen por aquel que, al confiarles el poder, les ha encomendado velar por el mantenimiento de la justicia y los derechos de todos, evitar los caminos del error y pisar firmemente el camino de la verdad. Situados más allá de las pasiones que agitan la sociedad, es principalmente en los días de prueba que se les llama a despojar a las realidades de sus falsas apariencias y a mostrar que son, padres investidos de la autoridad que por derecho corresponde a las cabezas de las familias, para demostrar que, en los días de luto, saben ser justos, sabios y, por lo tanto, fuertes, y que no abandonarán al pueblo al que deberían gobernar para que sea el juego de facciones, del error y sus consecuencias, que deben implicar la pérdida de la sociedad. La unión entre los monarcas es la base de la política que ahora debe seguirse para salvar a la sociedad de la ruina total.... No confundan las concesiones hechas a los partidos con el bien que deben hacer a su pueblo, modificando, según sus necesidades reconocidas, tales ramas de la administración que lo requieran. Sean justos, pero fuertes; beneficentes, pero estrictos. Mantengan los principios religiosos en toda su pureza y no permitan que la fe sea atacada y la moralidad interpretada según el contrato social o las visiones de sectarios insensatos. Supriman las Sociedades Secretas; esa gangrena de la sociedad.
-Klemens von Metternich, Confesión Política de Fe, 1820
¿Cuál de las siguientes fue la causa más grande de los temores expresados por Metternich en el documento anterior?"	Las ideas de libertad personal y el nacionalismo concebidas durante la Ilustración resultaron en revoluciones radicales que podrían expandirse por toda Europa.	La conquista de Europa por Napoleón llevó a la creación de nuevas facciones y cambió el equilibrio de poder europeo.	El poder de los monarcas había crecido hasta el punto en que necesitaba ser controlado por otras potencias dentro de cada nación o se produciría la dominación de los civiles.	El ciclo económico creciente y decreciente de la economía emergente capitalista podría llevar a disturbios civiles que debían ser reprimidos.	A	high_school_european_history/dev/1
En comparación con la masa de un átomo de uranio que sufre fisión, las masas combinadas de los productos después de la fisión son	menores	mayores	iguales	cero	A	conceptual_physics/dev/0
Encuentra la característica del anillo 2Z.	0	3	12	30	A	abstract_algebra/dev/4
A diferencia de las _________, los _________ buscan recompensar el comportamiento favorable de las empresas. El éxito de tales campañas se ha visto aumentado mediante el uso de ____________, que permiten a las campañas facilitar que la empresa logre ___________.	Compras positivas, Boicots, Tecnología blockchain, Donaciones benéficas	Compras positivas, Boicots, Tecnología digital, Incremento de ventas	Boicots, Compras totales, Tecnología blockchain, Donaciones benéficas	Boicots, Compras positivas, Tecnología digital, Incremento de ventas	D	business_ethics/dev/4
¿Cuál de lo siguiente es un supuesto en la jerarquía de necesidades de Maslow?	Las necesidades dependen de la cultura y también de la clase social.	Las necesidades de nivel inferior deben ser satisfechas al menos parcialmente antes de que las necesidades superiores puedan afectar el comportamiento.	Las necesidades no están priorizadas o dispuestas en ningún orden particular.	Las necesidades satisfechas son motivadores y surgen nuevas necesidades cuando las necesidades actuales no se satisfacen.	B	marketing/dev/2
Simplifique y escriba el resultado con un denominador racional: $$\sqrt{\sqrt[3]{\sqrt{\frac{1}{729}}}}$$	\frac{3\sqrt{3}}{3}	\frac{1}{3}	\sqrt{3}	\frac{\sqrt{3}}{3}	D	high_school_mathematics/dev/3
"¿Cuál de los siguientes conjuntos tiene la desviación estándar más pequeña? ¿Cuál tiene la más grande?
I: {1,2,3}
II: {-10,10}
III: {100}
"	I, II	II, III	III, I	III, II	D	high_school_statistics/dev/4
Iverson Jewelers escribió una carta a Miller, 'Hemos recibido un reloj Rolox autowinding excepcionalmente fino que le venderemos a un precio muy favorable.'	La carta es una oferta de venta	Una oferta válida no puede ser hecha por carta.	La carta contiene una oferta válida que terminará en un tiempo razonable.	La carta carece de uno de los elementos esenciales de una oferta.	D	jurisprudence/dev/4
¿Cuál de estas ramas del nervio trigémino contiene procesos motores somáticos?	El nervio supraorbital	El nervio infraorbital	El nervio mentoniano	Ninguno de los anteriores	D	anatomy/dev/1
La variable $x$ varía directamente como el cuadrado de $y$, y $y$ varía directamente como el cubo de $z$. Si $x$ es igual a $-16$ cuando $z$ es igual a 2, ¿cuál es el valor de $x$ cuando $z$ es igual a $\frac{1}{2}$?	-1	16	-\frac{1}{256}	\frac{1}{16}	C	high_school_mathematics/dev/2
"Recientemente, una legislatura estatal promulgó una ley que convierte en delito menor maldecir o insultar o usar lenguaje obsceno o denigrante hacia o en referencia a un oficial de policía que realiza sus funciones. Un estudiante de una universidad estatal organizó una manifestación en el campus para protestar contra la guerra. La protesta fue asistida por un grupo de 50 estudiantes que gritaron mensajes antigubernamentales a los automóviles que pasaban. Para mostrar su desprecio por los Estados Unidos, el estudiante cosió la bandera estadounidense en la parte trasera de sus pantalones vaqueros. Cuando un oficial de policía vio la bandera cosida en los pantalones vaqueros del estudiante, se acercó y le dijo que se quitara la bandera o sería arrestado. El estudiante se enojó y gritó al oficial de policía: ""Escucha, bastardo, vestiré esta tela donde quiera que me plazca."" Posteriormente, el estudiante fue arrestado y acusado de violar la ley estatal. El estudiante posteriormente presenta una demanda en el tribunal estatal impugnando la constitucionalidad de la ley. El argumento constitucional más fuerte para el estudiante es que"	la ley es nula por vaguedad bajo la cláusula de debido proceso de la Decimocuarta Enmienda.	la ley es inválida porque viola la libertad de expresión del solicitante bajo la Primera Enmienda.	la ley es una limitación de la libertad de expresión bajo la Primera Enmienda porque hay medios menos restrictivos disponibles para lograr el mismo propósito.	la ley es de alcance excesivo y en consecuencia nula en virtud de las Primera y Decimocuarta Enmiendas.	D	professional_law/dev/0
El hallazgo de que los adultos tienden a recordar eventos de su adolescencia mejor que de otros períodos de sus vidas se denomina	Ventaja de la adolescencia	Pico de reminiscencia	Memoria conmemorativa	Pico cuadrático de recuperación	B	human_aging/dev/1
Joe estaba a cargo de las luces para un baile. La luz roja parpadea cada dos segundos, la luz amarilla cada tres segundos y la luz azul cada cinco segundos. Si incluimos el comienzo y el final del baile, ¿cuántas veces durante un baile de siete minutos se encenderán todas las luces al mismo tiempo? (Suponga que las tres luces parpadean simultáneamente al comienzo del baile)	3	15	6	5	B	high_school_mathematics/dev/0
Hace cien años, tu bisabuela invirtió $100 con un interés anual del 5%. ¿Cuál es el valor actual de la inversión?	$13,000	$600	$15,000	$28,000	A	professional_accounting/dev/1
De las reglas de solubilidad, ¿cuál de lo siguiente es verdadero?	Todos los cloruros, bromuros e ioduros son solubles	Todos los sulfatos son solubles	Todos los hidróxidos son solubles	Todos los compuestos que contienen amonio son solubles	D	high_school_chemistry/dev/2
El reino de decisiones políticas principalmente relacionadas con las relaciones entre los Estados Unidos y el resto del mundo se conoce como	política antiterrorista.	política económica.	política exterior.	política internacional.	C	us_foreign_policy/dev/2
Un hijo debía $5,000 a un acreedor. El padre del hijo se puso en contacto con el acreedor y le dijo que quería pagar la deuda del hijo. El padre firmó un documento que establecía que el padre pagaría la deuda del hijo a un ritmo de $500 al mes durante 10 meses. El acreedor no hizo ningún compromiso escrito ni oral de abstenerse de demandar al hijo para cobrar la deuda de $5,000, y el padre no solicitó oral o por escrito esa abstención. Durante los siguientes cinco meses, el padre hizo y el acreedor aceptó los pagos mensuales de $500 acordados. Durante ese período, el acreedor, de hecho, se abstuvo de emprender cualquier acción legal contra el hijo. Sin embargo, el padre luego informó al acreedor que no haría más pagos sobre la deuda. ¿Cuál de los siguientes es el argumento más persuasivo de que el padre es responsable ante el acreedor en los términos de su acuerdo?	La promesa del padre y la confianza del acreedor en ello, si se prueba, dan lugar a una reclamación válida por parte del acreedor contra el padre basada en la doctrina de la estoppel por promesa. 	Porque era previsible que la promesa del padre induciría al acreedor a abstenerse de tomar cualquier acción contra el hijo, tal abstención fue, como cuestión de derecho, una contraprestación negociada para la promesa del padre. 	Los cinco pagos del padre al acreedor que suman $2,500 manifestaron una seria intención por parte del padre de estar contractualmente obligado, y tal manifestación se reconoce en general como un sustituto efectivo de la contraprestación. 	Al asumir la obligación de la deuda antecedente que el hijo debía al acreedor, el padre se convirtió en un fiador cuya promesa al acreedor era ejecutable, ya que estaba por escrito y respaldada por una contraprestación adecuada. 	A	professional_law/dev/4
En un mercado laboral competitivo para pintores de casas, ¿cuál de lo siguiente aumentaría la demanda de pintores de casas?	Un salario mínimo efectivo impuesto en este mercado laboral.	Un aumento en el precio de los galones de pintura.	Un aumento en la construcción de nuevas casas.	Un aumento en el precio de los pintores mecánicos siempre y cuando el efecto de salida supere al efecto de sustitución.	C	high_school_microeconomics/dev/0
La práctica de contratar a un proveedor de servicios de terceros extranjero para administrar una operación se llama	subcontratación externa.	deslocalización.	maquiladoras.	interdependencia locacional.	B	high_school_geography/dev/3
La presencia de estructuras homólogas en dos organismos diferentes, como el húmero en el miembro delantero de un humano y un ave, indica que	el humano y el ave son especies polifiléticas	la evolución del humano y del ave es convergente	el humano y el ave pertenecen a un clado	el humano y el ave se desarrollaron por analogía	C	college_biology/dev/2
¿Cuál de los siguientes se considera un anhídrido ácido?	HCl	H2SO3	SO2	Al(NO3)3	C	high_school_chemistry/dev/0
¿Cuál de las siguientes condiciones garantiza que el momento angular se conserve? I. Conservación de momento lineal II. Fuerza externa neta cero III. Torque externo neto cero	Solo I y II	Solo I y III	Solo II y III	Solo III	D	high_school_physics/dev/0
Se unen un extremo de un alambre de Nicromo de longitud 2L y área transversal A con un extremo de otro alambre de Nicromo de longitud L y área transversal 2A. Si el extremo libre del alambre más largo está a un potencial eléctrico de 8,0 voltios, y el extremo libre del alambre más corto está a un potencial eléctrico de 1,0 voltios, el potencial en la unión de los dos alambres es aproximadamente igual a	2,4 V	3,3 V	4,5 V	5,7 V	A	college_physics/dev/2
¿Cuál de las siguientes afirmaciones sobre los elementos lantánidos NO es cierta?	El estado de oxidación más común para los elementos lantánidos es +3.	Los complejos de lantánidos a menudo tienen números de coordinación elevados (> 6).	Todos los elementos lantánidos reaccionan con ácido acuoso para liberar hidrógeno.	Los radios atómicos de los elementos lantánidos aumentan a través del periodo de La a Lu.	D	college_chemistry/dev/0
Un gen que muestra codominancia	tiene ambos alelos expresados independientemente en el heterocigoto	tiene un alelo dominante sobre el otro	tiene los alelos estrechamente ligados en el mismo cromosoma	tiene los alelos expresados al mismo tiempo durante el desarrollo	A	medical_genetics/dev/2
"Un compilador genera código para la siguiente declaración de asignación.
G := (A + B) * C - (D + E) * F
La máquina objetivo tiene un acumulador único y un conjunto de instrucciones de dirección única que consta de las instrucciones cargar, guardar, sumar, restar y multiplicar. Para las operaciones aritméticas, se toma el operando izquierdo del acumulador y el resultado aparece en el acumulador. El menor número posible de instrucciones en el código resultante es"	5	6	7	9	D	college_computer_science/dev/3
Una organización sin fines de lucro no gubernamental llamada Box tuvo las siguientes transacciones durante el año: Ingresos por venta de inversiones $ 80,000 Compra de propiedad planta y equipo $ 10,000 Ingresos por deuda a largo plazo $ 100,000 Pérdida en la venta de inversiones $ 5,000 ¿Qué monto se debe reportar como flujo neto de efectivo proporcionado por actividades de financiamiento en el estado de flujo de efectivo de Box?	$70,000	$75,000	$80,000	100000	D	professional_accounting/dev/0
¿Manteniendo todo lo demás constante, qué política monetaria se usaría para impulsar las exportaciones de EE. UU.?	Aumentar la tasa de descuento	Aumentar la tasa de reserva	Comprar valores gubernamentales	Reducir los aranceles	C	high_school_macroeconomics/dev/3
El gran rey maya Pacal construyó templos en la ciudad de Palenque para:	satisfacer a los poderosos sacerdotes astrónomos mayas.	mostrar su generosidad hacia la gente común, ya que se les permitió vivir en los templos.	ahuyentar a los enemigos, en particular a los españoles.	legitimizar su reinado, ya que su padre no era de la realeza.	D	prehistory/dev/0
Tres tácticas contrastantes que los organizadores de la sociedad civil (COS) pueden emplear para alcanzar sus objetivos son ________, lo cual, normalmente, involucra investigación y comunicación, ________, lo que podría implicar atacar físicamente las operaciones de una empresa o ________, a menudo involucrando alguna forma de _______.	Acción directa no violenta, Acción directa violenta, Acción indirecta, Boicot	Acción indirecta, Acción instrumental, Acción directa no violenta, Campaña informativa	Acción indirecta, Acción directa violenta, Acción directa no violenta, Boicot	Acción directa no violenta, Acción instrumental, Acción indirecta, Campaña informativa	C	business_ethics/dev/3
Se lanza un dado de 6 caras 15 veces y los resultados son los siguientes: el lado 1 aparece 0 veces; lado 2: 1 vez; lado 3: 2 veces; lado 4: 3 veces; lado 5: 4 veces; lado 6: 5 veces. ¿Cuál es la probabilidad de que aparezca el lado 3 al usar suavizado de Add-1?	2.0/15	1.0/7	3.0/16	1.0/5	B	machine_learning/dev/0
¿Cuáles son las funciones de la ley, excepto una de las siguientes?	maximizar la libertad individual	proporcionar una base para el compromiso	mantener la paz	promover los principios del sistema de libre empresa	D	jurisprudence/dev/1
¿Cómo se pueden caracterizar los Upanishads?	Textos rituales	Textos filosóficos	Himnos	Historias de origen	B	world_religions/dev/4
Ani cree que sus actitudes y comportamiento desempeñan un papel central en lo que le sucede. Tal creencia probablemente esté asociada con	un superyó fuerte.	baja autoestima.	baja autoeficacia.	un locus de control interno.	D	high_school_psychology/dev/0
¿Qué es el juez ad hoc?	Si una parte en un caso contencioso ante la CIJ no tiene un juez nacional presente como juez, tiene derecho a nominar a alguien como juez únicamente para ese caso, con el título de juez ad hoc.	El juez ad hoc es el miembro de la bancada de la CIJ con el voto decisivo.	El juez ad hoc es un juez sustituto, en caso de que un juez sea descalificado o fallezca.	El juez ad hoc es el juez que cada parte siempre nominará en cada caso contencioso.	A	international_law/dev/1
¿De dónde provienen la mayoría de los cometas de periodo corto y cómo lo sabemos?	Del cinturón de Kuiper; los cometas de periodo corto tienden a estar en el plano del sistema solar, al igual que el cinturón de Kuiper.	Del cinturón de Kuiper; los cometas de periodo corto tienden a venir de direcciones aleatorias, lo que indica una distribución esférica de cometas llamada cinturón de Kuiper.	Del cinturón de asteroides; los cometas de periodo corto tienen períodos orbitales similares a los asteroides como Vesta y se encuentran en el plano del sistema solar al igual que el cinturón de asteroides.	De la nube de Oort; los cometas de periodo corto tienden a estar en el plano del sistema solar, al igual que la nube de Oort.	A	astronomy/dev/1
A partir de 2015, desde 1990 los bosques han ____ en Europa y han ____ en África y América.	aumentado, aumentado	aumentado, disminuido	disminuido, aumentado	disminuido, disminuido	B	global_facts/dev/2
"Esta pregunta se refiere a la siguiente información. 
""Al menos una de las sociedades del mundo tendría que aumentar enormemente su productividad [para lograr la hegemonía global]. Ese salto cuántico tendría que realizarse antes de las diversas revoluciones científicas, tecnológicas, agrícolas e industriales en las que se basa nuestro mundo posterior al salto cuántico. Solo podría lograrse explotando los ecosistemas, los recursos minerales y los activos humanos de continentes enteros fuera de las tierras de la sociedad que realiza el salto. Europa occidental logró esto mediante su brutalidad y las armas y, lo que es más importante, por la suerte geográfica y ecológica. ""
Derechos de autor © 2015 Cambridge University Press.
Alfred Crosby, historiador, Ecological Imperialism, 2004
El ""salto cuántico"" mencionado en el pasaje contribuyó de manera más directa a cuál de los siguientes desarrollos en el período 1450-1750 d.C.?"	Una ruptura en las rutas comerciales a través del colapso de la estructura estatal establecida	Un aumento en la población del mundo a través de suministros más abundantes de alimentos	La difusión de sistemas de creencias chinos e indios en todo el mundo	Un aumento en la agitación social	B	high_school_world_history/dev/4
El grupo único dentro de la sociedad que es más vulnerable a la influencia del grupo de referencia es:	El consumidor de edad avanzada que se siente algo excluido de las cosas.	Las mujeres casadas, muchas de las cuales sienten la necesidad de estabilidad en sus vidas.	Nuevos inmigrantes que realmente quieren asimilarse en su nueva cultura.	Los niños, que basan la mayoría de sus decisiones de compra en influencias externas.	D	marketing/dev/3
¿En cuál de estos dos escenarios el personaje principal (quien usa yo/mí/mi) hace algo claramente moralmente incorrecto, según los estándares morales ordinarios en los Estados Unidos en 2020? Escenario 1 | Compré una vieja camioneta para trabajar. Escenario 2 | Miré hacia la hermosa cascada y le lancé una piedra.	Incorrecto, Incorrecto	Incorrecto, No incorrecto	No incorrecto, Incorrecto	No incorrecto, No incorrecto	D	moral_scenarios/dev/2
Una carga puntual, Q = +1 mC, está fija en el origen. ¿Cuánto trabajo se requiere para mover una carga, Q = +8 µC, desde el punto (0, 4 metros) al punto (3 metros, 0)?	3.5 J	6.0 J	22.5 J	40 J	B	high_school_physics/dev/4
Se sintetiza un nuevo compuesto y se descubre que es un ácido monoprótico con una masa molar de 248 g/mol. Cuando se disuelven 0.0050 moles de este ácido en 0.500 L de agua, el pH se mide como 3.89. ¿Cuál es el pKa de este ácido?	3.89	7.78	5.78	2.33	C	high_school_chemistry/dev/3
¿Cuál es la Segunda Gema en el Budismo?	El Dharma	El Sangha	El Buda	El Bodhisattva	A	world_religions/dev/1
Un telescopio refractor consta de dos lentes convergentes separadas por 100 cm. La lente del ocular tiene una distancia focal de 20 cm. La magnificación angular del telescopio es	4	5	6	20	A	college_physics/dev/0
En términos de las cinco dimensiones culturales de Hofstede (1980), Estados Unidos obtiene la puntuación más alta en:	individualismo.	individualismo y distancia jerárquica.	distancia jerárquica y masculinidad.	evitación de la incertidumbre.	A	professional_psychology/dev/2
Una tienda vende 107 colores diferentes de pintura. Tienen 25 latas de cada color en almacenamiento. El número de latas de pintura que tiene la tienda en almacenamiento se puede encontrar utilizando la siguiente expresión. 107 × 25. ¿Cuántas latas de pintura tiene la tienda en almacenamiento?	749	2,675	2,945	4,250	B	elementary_mathematics/dev/3
Un avión modelo vuela más lento cuando vuela contra el viento y más rápido con viento a favor. Cuando se lanza en ángulo recto con el viento lateral, su velocidad en tierra en comparación con volar en aire tranquilo es	igual	mayor	menor	ya sea mayor o menor dependiendo de la velocidad del viento	B	conceptual_physics/dev/3
Si el gobierno subsidia a los productores en un mercado perfectamente competitivo, entonces	la demanda del producto aumentará	la demanda del producto disminuirá	el excedente del consumidor aumentará	el excedente del consumidor disminuirá	C	high_school_microeconomics/dev/1
¿Cuál de los siguientes elementos es un ejemplo de cultura no material?	Jabón Dove	Barra de chocolate Dove	Símbolo de Dove	Una paloma (ave)	C	high_school_geography/dev/4
Dos largos conductores paralelos llevan 100 A. Si los conductores están separados por 20 mm, la fuerza por metro de longitud de cada conductor será	100 N.	0,1 N.	1 N.	0,01 N.	B	electrical_engineering/dev/3
Seleccione la mejor traducción al lenguaje de predicados. George toma prestada la cortadora de césped de Hector. (g: George; h: Hector; l: cortadora de césped de Hector; Bxyx: x toma prestado y de z)	Blgh	Bhlg	Bglh	Bghl	C	formal_logic/dev/1
Sea A el conjunto de todos los pares ordenados de números enteros (m, n) tales que 7m + 12n = 22. ¿Cuál es el número negativo más grande en el conjunto B = {m + n: (m, n) \ in A}?	-5	-4	-3	-2	B	college_mathematics/dev/4
Arguir que lo que es verdadero de las partes debe ser verdadero del todo es la falacia de...	División	Composición	Argumento ad hominem	Argumento de ignorancia	B	logical_fallacies/dev/3
¿Qué tipo de psicóloga sería Pascale si está interesada en las estrategias de procesamiento que utilizan los niños para aprender nueva información?	sociocultural	clínica	cognitiva	conductista	C	high_school_psychology/dev/4
